nx,quadraturetype,quadratureorder,convolutionmagnitude,convolutionwidth,rotationmagnitude,testcaseid,absL1,relL1,absL2,relL2
70,3,5,18.0,1.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,14.0,2.0,0,2,8.4296843819690075,0.0202504464315956,4.8092297450186434,0.0163052759422696
70,3,5,18.0,7.0,0,2,95.8644018044862065,0.2302929558775789,49.8622876506416972,0.1690537575375044
70,3,5,1.5,10.0,0,2,17.5793199344719611,0.0422304158146610,7.6757328845797081,0.0260239059844999
70,3,5,1.5,8.0,0,2,16.1217546450758888,0.0387289385972455,7.0416730979075020,0.0238741813230204
70,3,5,16.0,20.0,0,2,118.3219227735378212,0.2842421673501903,75.0025321335599386,0.2542895739329872
70,3,5,0.0,6.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,8.0,2.0,0,2,8.4416554621906457,0.0202792042958017,4.8103591394871907,0.0163091050561680
70,3,5,1.0,4.5,0,2,7.4623272091329058,0.0179265854516236,4.3304089911421233,0.0146818757445708
70,3,5,5.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,1.0,9.0,0,2,11.5963881633172363,0.0278577496689613,5.4485095705220479,0.0184726986922340
70,3,5,8.0,10.0,0,2,72.2108945206221193,0.1734706526373997,33.0461062520134021,0.1120399543845355
70,3,5,16.0,8.0,0,2,93.2531142438427594,0.2240199168801271,49.0027709601897783,0.1661396408165636
70,3,5,10.0,1.5,0,2,8.4574330475853294,0.0203171064441358,4.8117878416158506,0.0163139489467040
70,3,5,0.5,20.0,0,2,9.7993723425002699,0.0235408178637774,5.1330746208703379,0.0174032438795929
70,3,5,8.0,4.0,0,2,25.5543882850583159,0.0613887480966272,10.0984803783868031,0.0342380210339803
70,3,5,10.0,3.0,0,2,7.1438124812769370,0.0171614244868883,4.6149704704493768,0.0156466567362569
70,3,5,6.0,3.0,0,2,7.2575679864691480,0.0174346968491515,4.5640807314834841,0.0154741194942321
70,3,5,1.0,5.0,0,2,7.9620420589413179,0.0191270395064354,4.4348726565213914,0.0150360507331361
70,3,5,6.0,20.0,0,2,84.3113544489855542,0.2025393228833617,40.9999331005071213,0.1390067138112512
70,3,5,3.0,6.0,0,2,25.3238065855203480,0.0608348267227039,11.0315765550845910,0.0374016026153122
70,3,5,0.0,3.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,18.0,5.0,0,2,79.9037742166028266,0.1919510892859398,35.7022663818352015,0.1210454347129516
70,3,5,8.0,12.0,0,2,75.3911053407718299,0.1811104035386760,36.1118056528083073,0.1224339420574654
70,3,5,5.0,12.0,0,2,62.4242908175034472,0.1499605085967555,24.7470907784317120,0.0839028628916461
70,3,5,1.0,1.5,0,2,8.4574424358273959,0.0203171289973044,4.8117886618024208,0.0163139517274754
70,3,5,0.5,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,14.0,6.0,0,2,82.8282149718615983,0.1989764093540810,38.0237336994146204,0.1289161681174640
70,3,5,18.0,1.5,0,2,8.4574247027210649,0.0203170863974508,4.8117871125623140,0.0163139464749113
70,3,5,12.0,16.0,0,2,100.2079057974517440,0.2407272605264115,56.0713925471648054,0.1901051886522628
70,3,5,10.0,9.0,0,2,79.6070933993210446,0.1912383794470641,37.5206257440400321,0.1272104242715539
70,3,5,10.0,7.0,0,2,72.6473292011864942,0.1745190901255889,33.4412871734920358,0.1133797809915932
70,3,5,0.5,14.0,0,2,8.3062749273468981,0.0199539825977511,4.5675105142662709,0.0154857478750042
70,3,5,4.0,10.0,0,2,45.3902265884236726,0.1090399486382857,18.7516284598456693,0.0635757683902279
70,3,5,1.5,1.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,6.0,3.5,0,2,10.4012315916559572,0.0249866511752187,5.0093382693805149,0.0169837265219077
70,3,5,3.0,18.0,0,2,52.7022384377879689,0.1266054347885700,21.2323952774650877,0.0719865929202076
70,3,5,18.0,20.0,0,2,120.2247747224756438,0.2888133469712975,79.5635716423959423,0.2697533824258536
70,3,5,4.0,4.5,0,2,19.9019488807217186,0.0478100165357877,8.4244918851315020,0.0285625083731465
70,3,5,1.5,12.0,0,2,18.9866118908101100,0.0456111225035614,8.3316352936341413,0.0282476861609219
70,3,5,1.0,20.0,0,2,17.1524047874456613,0.0412048468936959,7.9113350747694087,0.0268226947567820
70,3,5,9.0,2.0,0,2,8.4396434126865252,0.0202743707932819,4.8101745606058621,0.0163084792574949
70,3,5,6.0,9.0,0,2,63.9957755495677958,0.1537356519998477,25.1141301783877324,0.0851472781130579
70,3,5,6.0,2.5,0,2,8.1369771138627307,0.0195472821630017,4.7651077773454880,0.0161556842412760
